Algorithm,FCFS
Exported,2026-04-09 11:45:31
Total Processes,20
Average Waiting Time,37.75
Average Turnaround Time,42.50

PID,Arrival Time,Burst Time,Completion Time,Turnaround Time,Waiting Time
1,0,8,8,8,0
2,1,4,12,11,7
3,2,9,21,19,10
4,3,5,26,23,18
5,4,2,28,24,22
6,5,6,34,29,23
7,6,3,37,31,28
8,7,7,44,37,30
9,8,1,45,37,36
10,9,4,49,40,36
11,10,6,55,45,39
12,12,3,58,46,43
13,13,8,66,53,45
14,15,2,68,53,51
15,16,5,73,57,52
16,17,4,77,60,56
17,18,7,84,66,59
18,20,3,87,67,64
19,21,6,93,72,66
20,23,2,95,72,70
