Algorithm,SJF
Exported,2026-04-09 11:45:49
Total Processes,20
Average Waiting Time,25.40
Average Turnaround Time,30.15

PID,Arrival Time,Burst Time,Completion Time,Turnaround Time,Waiting Time
1,0,8,8,8,0
9,8,1,9,1,0
5,4,2,11,7,5
7,6,3,14,8,5
12,12,3,17,5,2
14,15,2,19,4,2
2,1,4,23,22,18
20,23,2,25,2,0
18,20,3,28,8,5
10,9,4,32,23,19
16,17,4,36,19,15
4,3,5,41,38,33
15,16,5,46,30,25
6,5,6,52,47,41
11,10,6,58,48,42
19,21,6,64,43,37
8,7,7,71,64,57
17,18,7,78,60,53
13,13,8,86,73,65
3,2,9,95,93,84
