process_id,arrival_time,burst_time,start_time,finish_time,waiting_time,turnaround_time,response_time
P1,0,8,0,8,0,8,0
P2,1,4,8,12,7,11,7
P3,2,9,12,21,10,19,10
P4,3,5,21,26,18,23,18
P5,4,2,26,28,22,24,22
P6,5,6,28,34,23,29,23
P7,6,3,34,37,28,31,28
P8,7,7,37,44,30,37,30
P9,8,1,44,45,36,37,36
P10,9,4,45,49,36,40,36
P11,10,6,49,55,39,45,39
P12,12,3,55,58,43,46,43
P13,13,8,58,66,45,53,45
P14,15,2,66,68,51,53,51
P15,16,5,68,73,52,57,52
P16,17,4,73,77,56,60,56
P17,18,7,77,84,59,66,59
P18,20,3,84,87,64,67,64
P19,21,6,87,93,66,72,66
P20,23,2,93,95,70,72,70
